Id,Label,stakeholder_type
1,대한상공회의소,Private Sector
2,도시정부,Central Government
3,서울,Other
4,서울디지털재단,Public Institution
5,서울시,Other
6,어디나지원단,Other
7,오늘,Other
8,LG,Private Sector
9,연합뉴스,Other
10,아시아투데이,Other
11,인턴,Other
12,베트남,Other
13,중소벤처기업부,Central Government
14,경기연구원,Other
15,서울시의회,Local Government
16,국토교통부,Central Government
17,비씨디이엔씨,Other
18,스마트시티,Other
19,양주시,Other
20,CES,Other
21,인천경제자유구역청,Central Government
22,인천경제청,Central Government
23,대한상의서,Other
24,GWIST,Other
25,SOC,Other
26,강원랜드,Other
27,국민의힘,Other
28,동서고속,Other
29,춘천교도소,Other
30,KT,Private Sector
31,수원 ITS,Other
32,수원컨벤션센터,Other
33,아태총회,Other
34,㈜비씨디이엔씨,Private Sector
35,국토부,Central Government
36,딜로이트,Other
37,스마트시티 이니셔티브,Other
38,신흥국,Other
39,엔비디아,Other
40,한국딜로이트그룹,Other
41,양양,Other
42,원주,Other
43,정책총괄본부,Other
44,평창,Other
45,국제대,Other
46,한국,Other
47,유일,Other
48,인천,Other
49,ITS,Other
50,MBTI,Other
51,UA,Other
52,경기도무용단,Other
53,경기시나위오케스트라,Other
54,경부선,Central Government
55,광교호수공원,Other
56,도시안전통합센터,Other
57,수원,Other
58,수원시,Other
59,수원시립합창단,Other
60,조직위원회,Central Government
61,진우에이티에스,Other
62,한국도로공사,Other
63,ECC,Other
64,KCA,Other
65,Kp,Other
66,KpqC 공모전,Other
67,LG유플러스,Private Sector
68,NIA,Other
69,NIST,Other
70,TTA,Other
71,국립표준기술연구소(NIST,Public Institution
72,정부,Central Government
73,주엄개,Other
74,한국방송통신전파진흥원(,Public Institution
75,한국인터넷진흥원(KISA),Public Institution
76,한국정보통신기술협회,Private Sector
77,한국정보통신기술협회(TTA),Private Sector
78,한국지능정보사회진흥원,Public Institution
79,한국지능정보사회진흥원(,Public Institution
80,CES 2026,Other
81,Consumer Electronics Show,Other
82,Expo,Other
83,LVCC,Other
84,대전,Other
85,대전시의회,Local Government
86,민주당,Other
87,송도,Other
88,의회,Other
89,아주대학교,Academia
90,광명,Other
91,교육지원청,Central Government
92,도시개발,Other
93,삼성,Private Sector
94,광주,Other
95,현대,Private Sector
96,평택,Other
97,화성,Other
98,수원시수원,Other
99,TSMC,Other
100,국가과학기술위원회,Central Government
101,대만,Other
102,폭스콘,Other
103,소프트뱅크,Other
104,테슬라,Other
105,SK그룹,Private Sector
106,SK하이닉스,Private Sector
107,젠슨,Other
108,젠슨 황,Other
109,HBM4,Other
110,미디어텍,Other
111,하이닉스,Other
112,YTN,Other
113,수원특례시,Other
114,미래산업,Other
115,SoC,Other
116,정보통신,Private Sector
117,애플,Other
118,에이수스,Other
119,기아,Private Sector
120,현대차,Private Sector
121,현대차·,Private Sector
122,현대차·기아,Private Sector
123,NATO,Other
124,러시아,Other
125,북대서양조약기구,Other
126,우크라이나,Other
127,행정부,Central Government
128,동부,Central Government
129,디와이디,Other
130,삼부토건,Central Government
131,강릉,Other
132,강릉시,Other
133,교통부,Central Government
134,드론쇼,Other
135,삼성디스플레이,Private Sector
136,딥엑스,Other
137,LG유플,Private Sector
138,소트랩,Other
139,LGU+,Private Sector
140,한국정보통신기술협회(,Private Sector
141,KISA,Other
142,한국방송통신전파진흥원,Public Institution
143,Wi,Other
144,app,Other
145,fina,Other
146,un,Other
147,wi,Other
148,NI,Other
149,cha,Other
150,cu,Other
151,dri,Other
152,eac,Other
153,the,Other
154,fed,Other
155,강원도,Other
156,CTA,Other
157,IFEZ 홍보관,Other
158,미국소비자기술협회,Other
159,국립표준기술연구소,Public Institution
160,표준기술연구소,Other
161,네옴시,Other
162,네옴시티,Other
163,사우디,Other
164,삼성물산,Private Sector
165,해외건설협회,Other
166,중동 지역,Other
167,현대건설,Private Sector
168,시공사,Other
169,IMD,Other
170,국제경영개발원,Other
171,한창,Other
172,SCMP,Other
173,중국,Other
174,화웨이,Other
175,구글,Other
176,명문대,Other
177,충남도,Other
178,노벨상,Other
179,셀트리온,Other
180,제주도,Other
181,SMR,Other
182,SSNC,Other
183,한수원,Other
184,국회,Central Government
185,대한민국,Other
186,세울,Other
187,IGC,Other
188,IGC운영재단,Public Institution
189,겐트대 글로벌캠퍼스,Other
190,마린유겐트연구소,Other
191,유타대 아시아캠퍼스,Other
192,한국뉴욕주립대,Other
193,한국스탠포드센터,Other
194,아세테크,Other
195,유니콘팩토리,Other
196,트위니,Other
197,MOU,Other
198,인프라부,Central Government
199,한국건설기술연구원,Other
200,한동대학교,Academia
201,한국건설기술연구원(KICT),Other
202,부산,Central Government
203,부산창조경제혁신센터,Central Government
204,APEC,Other
205,ITF,Other
206,OECD,Other
207,경제협력개발기구,Other
208,국제교통포럼,Other
209,아시아태평양경제협력체,Other
210,지역개발정책위원회,Central Government
211,정책위원회,Central Government
212,유상증자,Other
213,이에이트,Other
214,픽스포디,Other
215,NFL,Other
216,PIX4D,Other
217,타깃,Other
218,리서치,Other
219,부산광역시,Central Government
220,부산창경,Central Government
221,경찰청,Central Government
222,기초지자체,Local Government
223,영국,Other
224,경제일자리국,Other
225,기획경제국,Other
226,기획소통국,Other
227,의정부시,Central Government
228,건설부,Central Government
229,삼정KPMG,Other
230,자원,Other
231,중앙아시아,Other
232,한국경제신문,Other
233,현대그룹,Private Sector
234,의장,Other
235,케이패스,Other
236,웨스틴,Other
237,조선호텔,Other
238,회의서,Other
239,IoT,Other
240,이노비즈,Other
241,조달청,Central Government
242,교원,Other
243,진로,Other
244,세종교육청,Central Government
245,세종시교육청,Central Government
246,진로교육원,Other
247,K-패스,Other
248,미국,Other
249,백악관,Other
250,석유화학,Other
251,이스라엘,Other
252,이란,Other
253,하마스,Other
254,헤즈볼라,Other
255,장관회,Other
256,폴란드,Other
257,홍주초등학교,Academia
258,국토교통,Other
259,기금지역정책부,Central Government
260,삼성전자,Private Sector
261,인천시,Other
262,삼성바이오로직스,Private Sector
263,판교,Other
264,2030,Other
265,경민대,Other
266,경민대학교,Academia
267,부장교사,Central Government
268,의정부공고,Central Government
269,김포시,Other
270,단국대,Other
271,대학원,Academia
272,스마트로,Other
273,경제자유구역,Other
274,울산,Other
275,유럽,Other
276,한국대사관,Other
277,IFEZ,Other
278,대표단,Other
279,인천국제공항공사,Other
280,인민위원회,Central Government
281,인천공항,Other
282,인천광역시청,Central Government
283,자유무역지대,Other
284,제공,Other
285,시의회,Local Government
286,USTR,Other
287,네이버,Private Sector
288,미국무역대표부,Central Government
289,티맵모빌리티,Other
290,경북대,Other
291,대구시,Other
