Label,OverrideType
서울시스마트도시담당관,Local Government
부산시스마트시티추진단,Local Government
세종시스마트도시과,Local Government
경기도데이터정책과,Local Government
인천시디지털정책과,Local Government
광주시도시계획과,Local Government
대구시스마트도시과,Local Government
대전시스마트도시과,Local Government
울산시스마트도시담당관,Local Government
제주시스마트도시팀,Local Government
청주시스마트도시계획팀,Local Government
창원시도시정보센터,Local Government
김해시도시개발과,Local Government
포항시도시디자인과,Local Government
안양시정보통신과,Local Government
스마트시티산학협력단,Academia
서울과학기술대학교 U-City센터,Academia
부산대학교 공간정보연구소,Academia
한양대학교 도시대학원,Academia
성균관대학교 AI융합연구소,Academia
고려대학교 스마트도시연구소,Academia
경북대학교 공간빅데이터연구소,Academia
연세대학교 도시연구소,Academia
중앙대학교 공간정보융합연구센터,Academia
경희대학교 도시시스템공학과,Academia
KAIST 스마트시티연구단,Academia
서울시복지재단,Public Institution
경기도가족여성연구원,Public Institution
부산테크노파크,Public Institution
전북테크노파크,Public Institution
서울디지털재단,Public Institution
인천정보산업진흥원,Public Institution
대구정보산업진흥원,Public Institution
세종도시교통공사,Public Institution
울산정보산업진흥원,Public Institution
광주정보문화산업진흥원,Public Institution
삼성문화재단,Private Sector
현대차정몽구재단,Private Sector
포스코1%나눔재단,Private Sector
한화사회봉사단,Private Sector
LG연암문화재단,Private Sector
카카오엔터프라이즈,Private Sector
네이버랩스,Private Sector
SK텔레콤,Private Sector
KT에스테이트,Private Sector
GS건설,Private Sector
한샘ICT,Private Sector
직방,Private Sector
쏘카,Private Sector
모빌테크,Private Sector
솔트룩스,Private Sector
