Id,Label,type
1,SK텔레콤,private_policy
2,과학기술정보통신부,policy
3,충청권,bridge
4,융합보안대학원,bridge
7,WSCE,others
8,과학기술정보통신부(,policy
9,국토교통부,policy
10,대한항공,others
11,도심항공교통,bridge
12,벡스코,bridge
16,케이티,private_policy
17,케이티(KT),private_policy
18,한국수자원공사,bridge
19,와 과학기술정보통신,others
20,KISA,others
21,경남테크노파크,others
22,경상남도,others
23,과기정통부,bridge
24,부산대,bridge
25,부산정보산업진흥원,bridge
26,부산정보산업진흥원장,others
27,울산정보산업진흥원,others
28,융합대학원,others
29,한국선급,others
30,한국인터넷진흥원(,others
32,부산시,bridge
33,도심항공,others
35,국토교통부·과학기술정보통신부,policy
36,대전정보문화산업진흥원,others
37,세종테크노파크,others
38,이노베이션스퀘어,others
39,정보통신,bridge
40,정보화담당관,others
41,충남테크노파크,others
42,충북과학기술혁신원,others
43,교통항만수산국장,others
44,군산시,others
45,BMW,bridge
47,국가정보원,bridge
48,국토지리정보원,others
52,Google,bridge
53,행정부,bridge
55,도시통합센터,citizen
56,교통정보센터,citizen
58,ITS,others
59,수원 ITS,others
60,수원컨벤션센터,citizen
61,아태총회,others
62,조직위원회,bridge
64,도시안전통합센터,citizen
65,대한민국,bridge
66,상담회,bridge
67,수원시,others
68,스마트시티,bridge
69,세종SB플라자,others
70,정보보호네트워크정책관,others
71,한국인터넷진흥원(KISA),others
72,공간정보품질관리원,others
73,영종도,others
74,인천시,bridge
75,인천경제청,bridge
76,과기부,others
77,미래전략,bridge
78,세종시,bridge
79,인천경제자유구역청,bridge
80,전국대회,others
81,경제부시장,others
82,산학협력,bridge
83,충남도청,bridge
84,충남도,bridge
85,동남권,others
86,아시아투데이,bridge
87,평가위,others
88,ICAO,others
89,공간정보혁신센터,citizen
90,교통부,bridge
91,국제민간항공기구,others
92,국토교통,others
93,국토부,bridge
94,보건부,others
95,키헨질레,others
96,한국철도공사,bridge
97,제일엔지니어링,others
98,한국인터넷진흥원,others
99,정보보,others
101,잔지바르,others
102,코레일,others
103,토지주택개발부,others
104,하피드,others
105,공공사업부,others
107,탄자니아,others
109,adm,others
110,app,others
112,eac,others
115,cha,others
116,fina,others
117,세종청사,bridge
118,수주지,others
120,도화엔지니어링,others
121,수주지원단,others
122,진현환,others
123,철도공단,others
125,연합뉴스,others
126,인천광역시,others
127,전주시,others
128,부산상공회의소,others
129,사상공단,others
130,사상기업발전협의회,others
131,사상스마트시티,others
132,부산상의,others
133,서부산청사,others
134,부산경제진흥원,others
135,CIC,others
136,Living,bridge
137,고양도시관리공사,others
138,고양산업진흥원,others
139,고양시,bridge
140,씨엠스튜디오,others
141,엘마인즈,others
