Source,Target
55,9
9,1
55,9
9,2
55,9
9,11
11,8
55,9
55,9
9,16
55,9
9,17
55,9
9,35
55,9
9,164
55,9
9,173
55,9
9,184
55,9
9,190
55,9
9,220
55,9
9,235
55,9
9,238
55,9
9,2
2,260
55,9
9,261
55,9
9,267
55,9
9,271
55,9
9,294
55,9
9,295
55,9
9,315
55,9
9,342
55,9
9,344
55,9
9,2
2,345
55,9
9,2
2,346
55,9
9,385
55,9
9,402
55,9
9,66
66,433
55,9
9,473
55,9
9,476
55,9
9,481
55,9
9,482
55,9
9,503
55,9
9,1
1,511
55,9
9,535
55,9
9,601
55,9
9,622
55,9
9,172
172,624
55,9
9,622
622,626
55,9
9,675
55,9
9,717
55,9
9,731
55,9
9,744
55,9
9,772
55,9
9,782
55,9
9,843
55,9
9,892
55,9
9,893
55,9
9,897
55,9
9,899
55,9
9,905
55,9
9,905
905,907
55,9
9,928
55,9
9,984
55,9
9,1033
55,9
9,1093
55,9
9,1099
55,9
9,1131
55,9
9,1142
55,9
9,1255
55,9
9,1275
55,9
9,1301
55,9
9,148
148,1303
55,9
9,267
267,1402
55,9
9,385
385,1405
55,9
9,329
329,1445
55,9
9,1545
55,9
9,1546
55,9
9,1568
55,9
9,1604
55,9
9,1660
55,9
9,18
18,1663
55,9
9,220
220,1735
55,9
9,1736
55,9
9,2
2,1796
55,9
9,1815
55,9
9,2
2,1832
55,9
9,11
11,1833
55,9
9,1862
55,9
9,23
23,1870
55,9
9,1894
55,9
9,745
745,1896
55,9
9,1
1,1933
55,9
9,78
78,1942
55,9
9,148
148,1989
55,9
9,2010
55,9
9,2016
55,9
9,2057
55,9
9,2066
55,9
9,2069
55,9
9,2093
55,9
9,2097
55,9
9,2106
55,9
9,2107
55,9
9,148
148,2108
55,9
9,2121
55,9
9,2187
55,9
9,744
744,2189
55,9
9,2213
55,9
9,2214
55,9
9,2224
55,9
9,2284
55,9
9,23
23,2294
55,9
9,2298
55,9
9,2317
55,9
9,2427
55,9
9,2430
55,9
9,2478
55,9
9,2516
55,9
9,2606
55,9
9,2616
55,9
9,267
267,2625
55,9
9,2645
55,9
9,2668
55,9
9,2780
55,9
9,2781
55,9
9,2873
55,9
9,2881
55,9
9,2897
55,9
9,2956
55,9
9,39
39,3009
55,9
9,93
93,3077
55,9
9,148
148,3125
55,9
9,148
148,3128
55,9
9,3148
55,9
9,286
286,3176
55,9
9,905
905,3197
55,9
9,117
117,3248
55,9
9,3313
55,9
9,3333
55,9
9,3419
55,9
9,841
841,3420
55,9
9,3423
55,9
9,207
207,3509
55,9
9,294
294,3532
55,9
9,3541
55,9
9,23
23,3566
55,9
9,3590
55,9
9,3596
55,9
9,3629
55,9
9,3654
55,9
9,3656
55,9
9,3683
55,9
9,65
65,3757
55,9
9,3774
55,9
9,953
953,3779
55,9
9,3796
55,9
9,2
2,3814
55,9
9,3842
55,9
9,3858
55,9
9,3859
55,9
9,1
1,3863
55,9
9,3867
55,9
9,3929
55,9
9,2
2,3931
55,9
9,39
39,3973
55,9
9,482
482,4054
55,9
9,4092
55,9
9,18
18,4101
55,9
9,93
93,4103
55,9
9,4194
55,9
9,622
622,4321
55,9
9,1
1,4322
55,9
9,238
238,4324
55,9
9,4348
55,9
9,622
622,4382
55,9
9,482
482,4399
55,9
9,482
482,4400
55,9
9,385
385,4403
55,9
9,294
294,4412
55,9
9,476
476,4487
55,9
9,78
78,4494
55,9
9,329
329,1445
1445,4495
55,9
9,18
18,4516
55,9
9,18
18,4521
55,9
9,4580
55,9
9,75
75,4600
55,9
9,199
199,4620
55,9
9,294
294,4631
55,9
9,1
1,4670
55,9
9,90
90,4697
55,9
9,90
90,4698
55,9
9,18
18,2043
2043,4731
55,9
9,68
68,4761
55,9
9,711
711,4779
55,9
9,482
482,4844
55,9
9,692
692,4865
55,9
9,174
174,4891
55,9
9,174
174,4895
55,9
9,148
148,4974
55,9
9,39
39,5054
55,9
9,519
519,5070
55,9
9,294
294,5075
55,9
9,294
294,5076
55,9
9,294
294,5077
55,9
9,199
199,5082
55,9
9,315
315,5115
55,9
9,294
294,5131
55,9
9,220
220,5133
55,9
9,294
294,5134
55,9
9,139
139,5159
55,9
9,294
294,5173
55,9
9,235
235,5187
55,9
9,176
176,5207
55,9
9,294
294,5218
55,9
9,294
294,5224
55,9
9,294
294,5233
55,9
9,294
294,5234
55,9
9,11
11,5243
55,9
9,11
11,5244
55,9
9,18
18,5245
55,9
9,622
622,5265
55,9
9,199
199,5266
55,9
9,294
294,5283
55,9
9,294
294,5333
55,9
9,148
148,5335
55,9
9,154
154,5341
55,9
9,18
18,5348
55,9
9,199
199,5357
55,9
9,66
66,5370
55,9
9,622
622,5376
55,9
9,2198
2198,5386
55,9
9,148
148,5408
55,9
9,148
148,5410
55,9
9,344
344,5418
55,9
9,235
235,5422
55,9
9,199
199,5427
55,9
9,296
296,5428
55,9
9,472
472,5429
55,9
9,344
344,5432
55,9
9,278
278,5434
55,9
9,278
278,5443
55,9
9,344
344,5450
55,9
9,1
1,5451
55,9
9,235
235,5452
55,9
9,344
344,5475
55,9
9,843
843,5481
55,9
9,482
482,5489
55,9
9,472
472,5517
55,9
9,482
482,5522
55,9
9,482
482,5524
55,9
9,482
482,5530
55,9
9,199
199,5655
55,9
9,235
235,5688
55,9
9,208
208,5702
55,9
9,622
622,6006
55,9
9,93
93,6032
55,9
9,238
238,6035
55,9
9,225
225,6075
55,9
9,1401
1401,6308
55,9
9,148
148,6498
55,9
9,1443
1443,6511
55,9
9,1443
1443,6512
55,9
9,327
327,6575
55,9
9,56
56,6744
55,9
9,56
56,6745
55,9
9,482
482,6844
55,9
9,148
148,6934
55,9
9,65
65,6969
55,9
9,220
220,6990
55,9
9,482
482,6994
55,9
9,218
218,7037
55,9
9,1093
1093,7068
55,9
9,66
66,7137
55,9
9,286
286,7279
55,9
9,78
78,7323
55,9
9,39
39,7360
55,9
9,1661
1661,7362
55,9
9,1804
1804,7402
55,9
9,199
199,7404
55,9
9,93
93,7461
55,9
9,455
455,7707
55,9
9,290
290,7895
55,9
9,172
172,7906
55,9
9,476
476,7971
56,1
56,1
1,2
56,1
1,11
11,8
56,9
56,9
9,16
56,9
9,17
56,9
9,35
56,9
9,164
56,1
1,173
56,9
9,184
56,9
9,190
56,1
1,220
56,1
1,235
56,1
1,238
56,1
1,2
2,260
56,9
9,261
56,1
1,267
56,1
1,271
56,1
1,294
56,9
9,295
56,1
1,315
56,9
9,342
56,1
1,344
56,853
853,345
56,39
39,346
56,9
9,385
56,9
9,402
56,66
66,433
56,9
9,473
56,9
9,476
56,9
9,481
56,1
1,482
56,9
9,503
56,1
1,511
56,9
9,535
56,9
9,601
56,1
1,622
56,9
9,172
172,624
56,1
1,622
622,626
56,9
9,675
56,9
9,717
56,9
9,731
56,1
1,744
56,1
1,772
56,9
9,782
56,1
1,843
56,9
9,892
56,9
9,893
56,9
9,897
56,9
9,899
56,1
1,905
56,1
1,905
905,907
56,1
1,928
56,9
9,984
56,9
9,1033
56,9
9,1093
56,9
9,1099
56,1131
56,9
9,1142
56,9
9,1255
56,1
1,1275
56,1
1,1301
56,1
1,745
745,1303
56,1
1,267
267,1402
56,9
9,385
385,1405
56,9
9,153
153,1445
56,9
9,1545
56,9
9,1546
56,9
9,1568
56,9
9,1604
56,9
9,1660
56,9
9,18
18,1663
56,1
1,220
220,1735
56,9
9,1736
56,66
66,1796
56,9
9,1815
56,1
1,2
2,1832
56,1
1,11
11,1833
56,9
9,1862
56,1
1,23
23,1870
56,9
9,1894
56,1
1,745
745,1896
56,1
1,1933
56,1
1,78
78,1942
56,39
39,1989
56,9
9,2010
56,9
9,2016
56,9
9,2057
56,9
9,2066
56,9
9,2069
56,9
9,2093
56,9
9,2097
56,9
9,2106
56,9
9,2107
56,853
853,2108
56,9
9,2121
56,9
9,2187
56,1
1,744
744,2189
56,9
9,2213
56,9
9,2214
56,9
9,2224
56,9
9,2284
56,1
1,23
23,2294
56,9
9,2298
56,9
9,2317
56,9
9,2427
56,9
9,2430
56,9
9,2478
56,9
9,2516
56,9
9,2606
56,9
9,2616
56,1
1,267
267,2625
56,9
9,2645
56,9
9,2668
56,9
9,2780
56,9
9,2781
56,9
9,2873
56,9
9,2881
56,9
9,2897
56,9
9,2956
56,39
39,3009
56,3080
3080,3077
56,1803
1803,3125
56,1803
1803,3128
56,9
9,3148
56,286
286,3176
56,1
1,905
905,3197
56,9
9,117
117,3248
56,9
9,3313
56,9
9,3333
56,9
9,3419
56,9
9,841
841,3420
56,9
9,3423
56,207
207,3509
56,39
39,3532
56,9
9,3541
56,1
1,23
23,3566
56,9
9,3590
56,9
9,3596
56,9
9,3629
56,9
9,3654
56,9
9,3656
56,1
1,3683
56,75
75,3757
56,9
9,3774
56,9
9,953
953,3779
56,9
9,3796
56,1
1,2
2,3814
56,9
9,3842
56,9
9,3858
56,9
9,3859
56,1
1,3863
56,9
9,3867
56,9
9,3929
56,39
39,3931
56,39
39,3973
56,1
1,482
482,4054
56,9
9,4092
56,39
39,4101
56,1
1,93
93,4103
56,9
9,4194
56,1
1,238
238,4321
56,1
1,4322
56,1
1,238
238,4324
56,9
9,4348
56,1
1,622
622,4382
56,39
39,346
346,4399
56,39
39,346
346,4400
56,9
9,385
385,4403
56,1
1,271
271,4412
56,9
9,476
