Id,Label,type
1,SK텔레콤,private_policy
2,과학기술정보통신부,policy
3,충청권,bridge
4,융합보안대학원,bridge
8,과학기술정보통신부(,policy
9,국토교통부,policy
11,도심항공교통,bridge
12,벡스코,bridge
16,케이티,private_policy
17,케이티(KT),private_policy
18,한국수자원공사,bridge
23,과기정통부,bridge
24,부산대,bridge
25,부산정보산업진흥원,bridge
32,부산시,bridge
35,국토교통부·과학기술정보통신부,policy
39,정보통신,bridge
45,BMW,bridge
47,국가정보원,bridge
52,Google,bridge
53,행정부,bridge
55,도시통합센터,citizen
56,교통정보센터,citizen
60,수원컨벤션센터,citizen
62,조직위원회,bridge
64,도시안전통합센터,citizen
65,대한민국,bridge
66,상담회,bridge
68,스마트시티,bridge
74,인천시,bridge
75,인천경제청,bridge
77,미래전략,bridge
78,세종시,bridge
79,인천경제자유구역청,bridge
82,산학협력,bridge
83,충남도청,bridge
84,충남도,bridge
86,아시아투데이,bridge
89,공간정보혁신센터,citizen
90,교통부,bridge
93,국토부,bridge
96,한국철도공사,bridge
98,한국인터넷진흥원,others
117,세종청사,bridge
127,전주시,others
136,Living,bridge
139,고양시,bridge
148,IoT,bridge
153,더불어민주당,bridge
154,민주당,bridge
156,전남도,bridge
158,목포대,bridge
160,국민의힘,bridge
164,보건복지부,policy
172,베트남,bridge
173,한국토지주택공사(LH),private_policy
174,건설부,bridge
176,한국대사,bridge
178,파이낸셜뉴스,bridge
184,경기도무용단,policy
186,경부선,bridge
190,한국도로공사,policy
195,유니콘팩토리,bridge
197,APEC,bridge
199,MOU,bridge
207,경찰청,bridge
208,기초지자체,bridge
218,도시개발,bridge
220,현대건설,private_policy
225,대구시,bridge
226,미래혁신성장실장,bridge
228,티센터,citizen
229,한국데이터산업진흥원,bridge
230,UAM,others
235,현대차그룹,private_policy
237,경북대,bridge
238,LG전자,private_policy
239,교통안전,bridge
243,한국지능정보사회진흥원,bridge
247,fie,bridge
249,NIA,bridge
252,ETRI,bridge
253,IITP,bridge
256,산학협력단,others
257,정보통신기획평가원,bridge
258,한국전자통신연구원,bridge
260,엘지전자,private_policy
261,카카오모빌리티,private_policy
262,수성알파시티,bridge
264,서울디지털재단,bridge
265,연세대,bridge
267,행정안전부,policy
271,현대자동차그룹,private_policy
277,IBM,bridge
278,마이크로소프트,bridge
286,서울시,bridge
287,행정중심복합도시건설청,bridge
290,ABB,bridge
294,네이버,private_policy
295,네이버랩스,private_policy
296,산업통상자원부,bridge
300,한국전자기술연구원,bridge
302,전략사,bridge
303,행안부,bridge
307,싱가포르,bridge
308,오토노머스에이투지,bridge
315,카카오,private_policy
318,ICT연구센터,citizen
320,고려대,bridge
321,고려대학교,bridge
